Run,Game 1,Game 1: W or L,Game 2,Game 2: W or L,Game 3,Game 3: W or L,Game 4,Game 4: W or L,Game 5,Game 5: W or L,Game 6,Game 6: W or L,Game 7,Game 7: W or L,Game 8,Game 8: W or L,Game 9,Game 9: W or L,Game 10,Game 10: W or L,Day,Notes
192,Bughouse,W,Brawlhalla,W,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,
193,Bughouse,W,Brawlhalla,W,Fall Guys,W,Mario Kart,W,Overwatch,W,Halo,W,League of Legends,L,NA,NA,NA,NA,NA,NA,7,
194,Bughouse,W,Brawlhalla,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
195,Brawlhalla,W,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
196,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
197,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
198,Bughouse,W,Brawlhalla,W,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
199,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
200,Bughouse,W,Brawlhalla,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
201,Brawlhalla,W,Bughouse,W,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
202,Brawlhalla,W,Bughouse,W,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
203,Brawlhalla,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
204,Brawlhalla,W,Bughouse,W,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
205,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
206,Bughouse,W,Brawlhalla,W,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
207,Brawlhalla,W,Bughouse,W,Fall Guys,W,Mario Kart,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
208,Brawlhalla,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
209,Brawlhalla,W,Bughouse,W,Geoguessr,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
210,Geoguessr,W,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
211,Bughouse,W,Geoguessr,W,Brawlhalla,W,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
212,Geoguessr,W,Bughouse,W,Brawlhalla,W,Halo,W,Overwatch,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
213,Geoguessr,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
